treeID,Rank_structural,Structural_score,Rank_volume,Rank_DBH,Rank_height,Rank_branches,DBH_cm,H_m,BA_m2,Volume_total_m3,Stem_volume_m3,Branch_volume_total_m3,Branch_count,B1_primary_count,B2_secondary_count,B3_tertiary_plus_count,Max_branch_order,Stem_volume_pct,Branch_volume_pct,X_tree,Y_tree,Z_tree,R,G,B
173,23,0.437756856646442,16,16,44,19,21.0004308996343,13.207,0.0346374804170921,0.303295627835823,0.24947570467043,0.053819923165393,352,44,160,148,6,82.2549624109563,17.7450375890438,10.415,9.045,12.2628621908127,214,76,41
6,24,0.410698775015668,19,19,9,41,15.9322485889383,21.111,0.0199362756324479,0.229000819681454,0.213770501575473,0.0152303181059808,169,25,78,66,6,93.3492298729906,6.65077012700939,7.13772727272727,15.7163636363636,16.4391304347826,237,74,249
204,25,0.331314603770411,21,24,27,27,15.1119468454949,17.542,0.0179362114855272,0.204562375913748,0.181498255563624,0.0230641203501241,263,20,52,191,6,88.7251405606235,11.2748594393765,23.8877358490566,14.4343396226415,8.18829268292683,178,204,34
147,26,0.307309191390363,25,22,46,25,15.2661178489235,12.421,0.0183040461742568,0.185653098190247,0.161888608574552,0.0237644896156944,287,56,115,116,7,87.1995189698683,12.8004810301317,11.1002054794521,16.9321232876712,15.2793375394322,232,37,78
1,27,0.279095633655178,29,31,16,31,13.2467785049155,19.206,0.0137819424069799,0.135487725403153,0.125387621437849,0.0101001039653047,246,59,123,64,6,92.5453734386262,7.45462656137385,20.2518181818182,20.3745454545455,10.1842433234421,121,37,253
175,28,0.259323348853859,37,53,25,21,7.84014199279192,17.816,0.00482767180153243,0.0937336731662895,0.0510342673406525,0.042699405825637,336,34,125,177,7,54.446033764317,45.553966235683,18.6365217391304,19.7769565217391,11.6239350180505,102,227,25
2,29,0.245243750126883,35,35,17,28,12.1554749516386,19.118,0.0116046954330693,0.115359640670208,0.103349581370593,0.0120100592996145,260,35,116,109,6,89.5890285113239,10.4109714886761,19.4546385542169,14.6634337349398,10.601877394636,32,215,50
25,30,0.229108153641393,36,34,18,29,12.1685143991453,19.063,0.0116296060151828,0.101636335568673,0.0889600150591009,0.0126763205095725,253,37,86,130,6,87.5277670740034,12.4722329259966,13.52,17.525,14.4370114942529,24,159,244
196,31,0.213160208130981,34,37,21,32,12.0740295534195,18.536,0.0114497064012546,0.116642941892818,0.104225904307159,0.0124170375856584,234,37,102,95,6,89.3546601413155,10.6453398586845,20.9921348314607,21.1416853932584,9.69370786516854,136,245,22
10,32,0.169890577829813,30,32,32,37,13.0982508571634,16.841,0.0134746188355991,0.134316196420964,0.122993464738618,0.0113227316823463,189,41,86,62,6,91.5700920782037,8.42990792179627,21.82,13.1457142857143,9.09898550724638,72,215,27
59,33,0.12716325089355,38,44,24,32,10.0824897438674,17.834,0.00798409064936299,0.08733839699831,0.0745452971572131,0.0127930998410968,234,30,87,117,6,85.3522616846925,14.6477383153075,21.1982835820896,17.3035074626866,9.99555555555555,19,125,218
155,34,0.126410237368435,28,23,53,38,15.2486959184567,9.594,0.0182622922901695,0.136482880394811,0.117083377815123,0.0193995025796877,185,44,71,70,7,85.786127517554,14.213872482446,13.7726814628397,18.4538951230034,14.5859637920098,220,12,126
28,35,0.0940963170961364,26,27,14,56,14.8203610843124,20.214,0.0172507289439464,0.163743105873225,0.156719530919189,0.00702357495403588,85,19,39,27,5,95.7106133314255,4.28938666857447,11.5706603773585,19.8614150943396,15.7562429378531,19,207,115
60,36,0.09063445058315,40,41,31,36,10.568829737286,17.03,0.00877291020983609,0.08193453494083,0.071819305460917,0.010115229479913,204,33,82,89,6,87.6544982073581,12.3455017926419,19.0966666666667,13.8644444444445,10.71,179,213,18
215,37,0.0788005808769251,33,40,40,30,11.0515531273171,14.375,0.00959260392366441,0.118522803958709,0.0926507184628339,0.0258720854958752,247,27,100,120,6,78.1712171567519,21.828782843248,24.90125,19.76875,7.55543103448276,239,16,28
96,38,0.0730469180147662,49,54,19,34,7.74236753831435,18.912,0.00470801078604673,0.0563826610609882,0.0506515625668275,0.00573109849416074,216,38,78,100,6,89.8353529501534,10.1646470498466,16.1175,20.07375,13.2984834123223,56,247,184
195,39,0.0558631290458868,41,43,26,44,10.1286354071668,17.547,0.00805734126272775,0.0811445612671889,0.0764427494089574,0.00470181185823143,152,29,69,54,6,94.2056352455348,5.79436475446522,21.4375,15.45,9.73282258064516,22,67,229
